"","Atrial cardiomyocytes","Capillary endothelium","Cardiac neural crest cells & Schwann progenitor cells","Endothelium / pericytes / adventitia","Epicardial cells","Epicardium-derived cells","Fibroblast-like (related to cardiac skeleton connective tissue)","Fibroblast-like (related to larger vascular development)","Fibroblast-like (related to smaller vascular development)","Myoz2-enriched cardiomyocytes","Smooth muscle cells / fibroblast-like)","Ventricular cardiomyocytes"
"2043_9540",0.0103006234651269,9.07608649958382e-09,0.00106335510117006,0.0027544541411939,9.07608649958382e-09,9.07608649958382e-09,9.07608649958382e-09,9.07608649958382e-09,0.04853107709614,0.0374510528777279,9.07608649958382e-09,0.899899382862122
"2043_9964",0.0604037385957274,1.08194081258369e-08,1.08194081258369e-08,1.08194081258369e-08,0.00320854851871622,1.08194081258369e-08,1.08194081258369e-08,1.08194081258369e-08,0.179926411909222,0.0260323547661009,1.08194081258369e-08,0.730428870474377
"2043_10388",9.96747799542442e-09,9.96747799542442e-09,9.96747799536523e-09,9.96747799542442e-09,0.00493014887514771,9.96747799542442e-09,9.96747799542442e-09,9.96747799542442e-09,0.186759119272113,9.96747799542442e-09,9.96747799542442e-09,0.808310642145437
"2043_10812",0.039852429039034,0.00343696038475414,0.0498434842851636,9.07091401136397e-09,0.016264603214287,9.07091401136397e-09,9.07091401136397e-09,9.07091401136397e-09,0.0853676928223649,0.200643665274427,9.07091401136397e-09,0.604591119625399
"2043_11236",1.14758938524896e-08,1.14758938525578e-08,0.0672926019458111,0.0259879240202063,1.14758938525578e-08,1.14758938525578e-08,1.14758938525578e-08,0.1132871356913,0.184413397762098,0.198306864759736,1.14758938524896e-08,0.410712006965486
"2043_11660",0.0261533458969973,8.90114219759079e-09,8.90114219759079e-09,8.90114219759079e-09,0.0137635233230868,8.90114219759079e-09,8.90114219759079e-09,8.90114219759079e-09,0.0460216602234534,0.323906727384898,8.90114219759079e-09,0.590154680863569
"2043_12084",0.00821997740257881,1.01512295459274e-08,0.133936436401102,1.01512295459274e-08,1.01512295459274e-08,1.01512295459274e-08,1.01512295459274e-08,1.01512295459274e-08,0.0325991322883136,0.013483318886137,1.01512295459274e-08,0.811761063963262
"2043_12508",0.0330678121412985,0.0126674168947618,0.00412934151986687,9.6459284266144e-09,0.0120381972967178,9.6459284266144e-09,9.6459284266144e-09,0.116843005495282,0.0939942928852301,0.142316922508404,9.6459284266144e-09,0.584942972674725
"2043_12932",0.108977372891698,1.05488919726657e-08,1.05488919726657e-08,1.05488919726657e-08,0.0642982263923949,0.0568713155003245,1.05488919726657e-08,0.173753759884166,1.05488919726657e-08,0.0821958193485463,1.05488919726657e-08,0.513903442689518
"2043_13356",0.0165640160497852,1.2264676256427e-08,0.152377767187887,1.22646762563542e-08,0.103204567183678,0.361836940393989,0.064101619344896,1.2264676256427e-08,1.2264676256427e-08,1.2264676256427e-08,1.2264676256427e-08,0.301915016251707
"2497_1060",0.773936559003673,1.03974034971922e-08,1.03974034971922e-08,1.03974034971922e-08,0.157690378125606,0.0665796400108739,1.03974034971922e-08,1.03974034971922e-08,0.00179333968061891,1.03974034971922e-08,1.03974034971922e-08,1.03974034917194e-08
"2497_1484",0.556645097755488,1.14826037304089e-08,0.0080798740889712,1.14826037304089e-08,0.291927167689136,0.0955844935863197,0.00901514476056728,1.14826037304089e-08,0.0387481532238951,1.14826037304089e-08,1.14826037304089e-08,1.14826037304089e-08
"2497_1908",0.620171745806763,1.15649967852709e-08,1.15649967852709e-08,1.15649967852709e-08,0.261712691010274,0.0769707453446304,0.00162562563585345,1.15649967852709e-08,0.0395191112475015,1.15649967852709e-08,1.15649967852709e-08,1.15649967852709e-08
"2497_2332",0.508558380162898,1.21636275582693e-08,1.21636275582693e-08,1.21636275582693e-08,0.354852523701545,0.0631503712995947,1.21636275582693e-08,1.21636275582693e-08,0.0560253834853257,1.21636275582693e-08,0.0174132562052442,1.21636275582693e-08
"2497_2756",0.999999848098668,1.38092120307254e-08,1.38092120307254e-08,1.38092120307254e-08,1.38092120307254e-08,1.38092120307254e-08,1.38092120306434e-08,1.38092120307254e-08,1.38092120307254e-08,1.38092120307254e-08,1.38092120307254e-08,1.38092120307254e-08
"2497_4876",0.996618789789068,1.55875089040417e-08,1.55875089041342e-08,0.00338105433584243,1.55875089041342e-08,1.55875089041342e-08,1.55875089041342e-08,1.55875089041342e-08,1.55875089041342e-08,1.55875089041342e-08,1.55875089041342e-08,1.55875089041342e-08
"2497_5300",0.930073749909162,1.17475411588375e-08,0.0609433904477047,1.17475411587677e-08,0.00288018561834385,1.17475411588375e-08,1.17475411588375e-08,0.00610258004446025,1.17475411588375e-08,1.17475411588375e-08,1.17475411588375e-08,1.17475411588375e-08
"2497_5724",0.617902097617553,1.06240968280825e-08,1.06240968280825e-08,1.06240968280825e-08,0.295734936796367,0.0632311456349938,1.06240968280825e-08,1.06240968280825e-08,1.06240968280825e-08,1.06240968280825e-08,0.0231317349583116,1.06240968280825e-08
"2497_8692",0.0594380493116898,9.14874936428398e-09,9.14874936433831e-09,0.00827811642421259,0.00656940928514145,9.14874936433831e-09,9.14874936433831e-09,0.00427654371638446,0.0943557834118815,0.142953980086068,9.14874936433831e-09,0.684128072020876
"2497_9116",0.0663071324234036,9.01448382441697e-09,0.00684048174352547,9.01448382441697e-09,0.00813095754809844,9.01448382441697e-09,0.0059899598424135,9.01448382441697e-09,0.0561564317720665,0.200751320074223,9.01448382441697e-09,0.65582367152385
"2497_9540",0.0438723664773445,9.0996196977051e-09,9.0996196977051e-09,9.0996196977051e-09,9.0996196977051e-09,9.0996196977051e-09,9.0996196977051e-09,9.0996196977051e-09,9.0996196977051e-09,0.187908509974935,9.0996196977051e-09,0.768219041651143
"2497_9964",0.0834356077508699,9.70628534638621e-09,9.70628534638621e-09,9.70628534638621e-09,9.70628534638621e-09,9.70628534638621e-09,9.70628534638621e-09,0.0101494983686355,9.70628534638621e-09,9.70628534638621e-09,9.70628534638621e-09,0.906414806523927
"2497_10388",0.206253394318008,0.0339743069776008,9.72487381607044e-09,9.72487381607044e-09,0.00658093928613538,9.72487381607044e-09,9.72487381607044e-09,0.0449249768028589,0.029927398891204,0.179647972550874,9.72487381607044e-09,0.49869096254895
"2497_10812",0.0774253863050397,8.919155013808e-09,8.919155013808e-09,8.919155013808e-09,0.00766040069183003,8.919155013808e-09,0.00326400386923791,8.919155013808e-09,0.00220547675685658,0.129296942127674,8.919155013808e-09,0.780147736734432
"2497_11236",0.0847968256244714,8.27853684012247e-09,0.0131213635135454,8.27853684012247e-09,8.27853684012247e-09,8.27853684012247e-09,8.27853684012247e-09,8.2785368400733e-09,0.0368966390206731,0.366740448279869,8.27853684012247e-09,0.498444665611683
"2497_11660",0.167803818629094,8.97124163935291e-09,8.97124163935291e-09,8.97124163935291e-09,8.97124163935291e-09,8.97124163934827e-09,8.97124163935291e-09,8.97124163935291e-09,0.01001145832477,0.288777905906761,8.97124163935291e-09,0.533406745369441
"2497_12084",0.0749434886185277,9.19593528103126e-09,9.19593527619093e-09,9.19593528103126e-09,9.19593528103126e-09,9.19593528097665e-09,9.19593528103126e-09,0.0189962289530768,9.19593528103126e-09,0.280298075673944,9.19593528103126e-09,0.625762133186969
"2497_12508",0.0661282911833038,9.17236730262771e-09,0.0818819538930067,0.0114312231931297,9.17236730262771e-09,9.17236730262771e-09,9.17236730262771e-09,9.17236730262771e-09,0.0688494785355555,0.312046875762838,9.17236730262771e-09,0.459662122397963
"2497_12932",0.0796889375654137,8.63244433926309e-09,0.0162385824709739,8.63244433926309e-09,0.0125683152929584,8.63244433926309e-09,8.63244433926309e-09,8.63244433926309e-09,0.0106933921685531,0.0125814267216319,8.63244433926309e-09,0.868229293985803
"2497_13356",0.0568126716738514,1.02439618923791e-08,0.171245385198643,0.014055616988738,1.02439618923791e-08,1.02439618923791e-08,1.02439618923791e-08,1.02439618923791e-08,0.104564658937919,0.146464077953863,1.02439618923791e-08,0.506857527783214
"2497_13780",1.13967907960159e-08,1.13967907960836e-08,0.0492512934438473,1.13967907960836e-08,0.037434317927942,1.13967907960836e-08,1.13967907960836e-08,1.13967907960836e-08,0.357037003641945,0.00320284540589521,1.13967907960836e-08,0.553074459802835
"2497_14204",0.162735378048419,9.54596943101045e-09,9.54596943101045e-09,9.54596943101045e-09,9.54596943101045e-09,0.0246393866218006,9.54596943101045e-09,9.54596943101045e-09,0.079754834872247,9.54596943101045e-09,9.54596943101045e-09,0.732870324089778
"2951_1060",0.96113079706512,1.07842431244603e-08,1.07842431244603e-08,1.07842431244603e-08,1.07842431244603e-08,1.07842431244603e-08,1.07842431244603e-08,1.07842431244603e-08,0.0388690950924488,1.07842431244603e-08,1.07842431244603e-08,1.07842431244603e-08
"2951_1484",0.663631028039841,1.17569137588362e-08,1.17569137587664e-08,1.17569137587664e-08,0.187981273181556,0.108195892567919,1.17569137588362e-08,1.17569137587664e-08,0.0401917121553739,1.17569137588362e-08,1.17569137588362e-08,1.17569137587664e-08
"2951_1908",0.871188912999071,0.00259068469300759,0.00501410230950018,1.11042669937604e-08,0.0922177582383743,1.11042669937604e-08,1.11042669937604e-08,0.0289884640301777,1.11042669937604e-08,1.11042669917682e-08,1.11042669937604e-08,1.11042669937604e-08
